#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Editable Columns,,,,,,,,,,,,,,,Calculated Columns (Do Not Edit),,,,,,,,,,,,,,,,,,,,
Batch by Type (p),"YES
(Declared Winner)","NO
(Declared Loser)",UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,Over Votes,Under Votes,Total,"Error Bound (up) - 
Max. possible relative overstatement for
NO (Loser)",Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,"Selection - 
Batch picked for audit",Times p Drawn - With Replacement
Batch by Type (p),Winning Candidate,Losing Candidate,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Over Votes,Under Votes,Total,Error Bound (up) - Max. possible relative overstatement - Losing Candidate,Error Bound (up) - Max. possible relative overstatement - Candidate 3,Error Bound (up) - Max. possible relative overstatement - Candidate 4,Error Bound (up) - Max. possible relative overstatement - Candidate 5,Error Bound (up) - Max. possible relative overstatement - Candidate 6,Error Bound (up) - Max. possible relative overstatement - Candidate 7,Error Bound (up) - Max. possible relative overstatement - Candidate 8,Error Bound (up) - Max. possible relative overstatement - Candidate 9,Error Bound (up) - Max. possible relative overstatement - Candidate 10,Error Bound (up) - Max. possible relative overstatement - Candidate 11,Error Bound (up) - Max. possible relative overstatement - Candidate 12,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,Selection - Batch picked for audit,Times p Drawn - With Replacement
0101 CIN 1-A   (AV),7,9,,,,,,,,,,,0,0,16,0.00016212,0,0,0,0,0,0,0,0,0,0,0.00016212,3.73227E-05,3.73227E-05,00000 - 00003,0,2.732268393,2.732268393,,0
0102 CIN 1-B   (AV),120,31,,,,,,,,,,,0,0,151,0.002779193,0,0,0,0,0,0,0,0,0,0,0.002779193,0.000639817,0.00067714,00004 - 00067,3.732268393,62.98174388,66.71401227,,0
0103 CIN 1-C   (AV),102,29,,,,,,,,,,,1,1,133,0.002385474,0,0,0,0,0,0,0,0,0,0,0.002385474,0.000549177,0.001226317,00068 - 00122,67.71401227,53.91766349,121.6316758,,0
0104 CIN 1-D   (AV),107,17,,,,,,,,,,,0,0,124,0.002478114,0,0,0,0,0,0,0,0,0,0,0.002478114,0.000570504,0.001796821,00123 - 00179,122.6316758,56.05038829,178.6820641,,0
0105 CIN 1-E   (AV),103,25,,,,,,,,,,,0,0,128,0.002385474,0,0,0,0,0,0,0,0,0,0,0.002385474,0.000549177,0.002345997,00180 - 00234,179.6820641,53.91766349,233.5997275,,0
0106 CIN 1-F   (AV),139,35,,,,,,,,,,,0,0,174,0.003219232,0,0,0,0,0,0,0,0,0,0,0.003219232,0.000741122,0.003087119,00235 - 00308,234.5997275,73.11218666,307.7119142,,0
0107 CIN 1-G   (AV),67,28,,,,,,,,,,,0,0,95,0.001551716,0,0,0,0,0,0,0,0,0,0,0.001551716,0.000357231,0.003444351,00309 - 00343,308.7119142,34.72314033,343.4350545,,0
0108 CIN 1-H   (AV),89,18,,,,,,,,,,,0,0,107,0.002061235,0,0,0,0,0,0,0,0,0,0,0.002061235,0.000474531,0.003918882,00344 - 00391,344.4350545,46.45312671,390.8881812,,0
0109 CIN 1-I   (AV),79,17,,,,,,,,,,,0,0,96,0.001829635,0,0,0,0,0,0,0,0,0,0,0.001829635,0.000421213,0.004340095,00392 - 00433,391.8881812,41.12131472,433.009496,,0
