"PRC #","PRECINCT","REGISTERED VOTERS TOTAL","BALLOTS CAST TOTAL","PERCENT","John Cranley","Roxanne Qualls","Angela Beamon","Shawn Butler","Michelle Dillingham","Timothy Joseph Dornbusch","Kevin Flynn","Kevin Johnson","Greg Landsman","Sam Malone","David Mann","Mike Moroski","Amy Murray","Laure Quinlivan","Chris Seelbach","Yvette Simpson","P.G. Sittenfeld","Christopher Smitherman","Pam Thomas","Melissa Wegman","Vanessa White","Charlie Winburn","Wendell Young"
101,"0101 CIN 1-A",285,101,"35.44%",78,19,18,11,25,9,56,9,27,35,48,13,68,29,32,20,70,56,16,27,24,56,27
102,"0102 CIN 1-B",1183,533,"45.05%",345,180,78,51,140,49,289,48,254,134,244,68,313,194,223,135,373,220,91,123,139,252,123
103,"0103 CIN 1-C",1402,496,"35.38%",333,145,79,51,146,57,258,38,237,134,226,93,280,152,166,137,325,231,97,93,118,247,125
104,"0104 CIN 1-D",619,174,"28.11%",112,53,20,17,54,15,78,18,54,51,61,32,77,64,71,63,111,61,33,44,34,79,48
105,"0105 CIN 1-E",1066,327,"30.68%",221,101,55,29,92,48,167,39,115,97,153,49,193,101,109,99,214,153,64,58,96,170,80
106,"0106 CIN 1-F",1036,487,"47.01%",325,156,89,43,113,63,272,60,220,137,231,71,271,146,174,120,304,221,81,98,134,246,116
107,"0107 CIN 1-G",591,217,"36.72%",140,72,32,20,71,16,120,15,99,55,100,45,126,71,99,64,162,107,46,32,48,94,64
108,"0108 CIN 1-H",612,248,"40.52%",158,83,21,37,53,19,118,22,98,61,87,40,141,99,97,64,162,104,33,83,54,100,52
109,"0109 CIN 1-I",1044,422,"40.42%",282,128,65,37,106,39,216,29,153,138,207,52,269,126,139,115,272,200,88,109,86,237,101
110,"0110 CIN 1-J",1117,384,"34.38%",240,140,28,31,93,25,182,14,128,84,173,76,225,145,130,112,264,155,57,85,85,159,88
111,"0111 CIN 1-K",1041,322,"30.93%",225,87,47,28,73,37,165,26,109,94,149,52,198,100,108,84,211,149,55,75,77,170,72
112,"0112 CIN 1-L",633,260,"41.07%",189,66,32,18,51,21,124,15,95,81,114,23,169,78,73,62,185,126,28,64,50,140,56
113,"0113 CIN 1-M",963,425,"44.13%",296,117,43,27,63,36,215,9,137,118,172,50,291,166,142,100,284,207,47,136,110,228,79
201,"0201 CIN 2-A",1192,386,"32.38%",180,191,61,51,114,21,113,49,115,102,174,47,111,131,154,187,222,140,139,41,124,202,164
202,"0202 CIN 2-B",1543,452,"29.29%",261,173,83,91,152,13,95,99,108,137,231,27,95,126,166,282,306,230,231,33,181,257,214
203,"0203 CIN 2-C",1675,352,"21.01%",198,146,51,51,113,28,163,43,126,108,157,53,156,119,131,132,234,158,109,58,104,173,106
204,"0204 CIN 2-D",1272,427,"33.57%",239,173,73,87,148,29,150,43,122,121,180,62,150,167,193,219,282,173,173,55,176,221,189
205,"0205 CIN 2-E",977,350,"35.82%",220,122,55,38,104,27,161,30,142,93,143,41,217,129,129,105,242,155,56,88,83,170,101
206,"0206 CIN 2-F",1009,334,"33.10%",169,156,48,90,116,18,79,51,91,99,131,45,83,119,143,197,223,130,158,29,143,166,177
207,"0207 CIN 2-G",802,439,"54.74%",308,116,30,12,70,22,257,18,198,108,236,30,316,141,133,108,334,164,57,133,122,218,112
208,"0208 CIN 2-H",880,185,"21.02%",106,74,33,44,64,8,65,24,52,55,74,21,71,63,74,90,122,82,63,23,74,92,96
209,"0209 CIN 2-I",1142,386,"33.80%",219,148,66,72,118,29,153,46,109,124,163,59,157,120,152,165,257,163,124,46,126,184,153
210,"0210 CIN 2-J",1516,442,"29.16%",261,171,50,34,134,40,185,27,198,98,175,63,224,149,192,141,281,165,101,99,92,179,126
211,"0211 CIN 2-K",682,300,"43.99%",172,122,31,39,97,24,127,23,122,65,130,41,140,123,128,105,204,104,67,52,62,124,101
301,"0301 CIN 3-A",1189,362,"30.45%",225,116,71,70,112,8,56,82,34,154,161,10,54,89,111,219,188,181,191,11,173,215,192
302,"0302 CIN 3-B",864,341,"39.47%",167,168,40,61,117,10,99,36,149,91,156,63,114,132,159,159,228,119,80,39,99,134,163
303,"0303 CIN 3-C",1034,361,"34.91%",195,156,42,71,124,20,130,49,142,99,170,41,126,150,141,163,236,124,135,44,103,155,161
304,"0304 CIN 3-D",1642,371,"22.59%",186,159,69,73,135,5,60,106,70,153,145,24,40,116,107,235,200,188,197,16,168,199,187
305,"0305 CIN 3-E",1371,383,"27.94%",213,144,68,113,132,9,41,73,109,164,164,23,49,120,169,237,238,167,225,19,151,197,223
401,"0401 CIN 4-A",840,394,"46.90%",229,158,24,38,120,34,186,24,191,72,228,60,195,173,166,143,278,140,75,72,115,157,138
402,"0402 CIN 4-B",1008,395,"39.19%",217,168,24,45,118,22,186,30,174,78,148,79,223,168,170,134,276,133,65,80,87,148,122
403,"0403 CIN 4-C",810,303,"37.41%",151,146,22,48,94,27,115,17,149,66,127,77,133,147,148,126,220,87,53,50,58,98,113
404,"0404 CIN 4-D",1020,420,"41.18%",245,165,33,46,118,30,184,32,172,105,174,79,226,183,201,149,296,159,68,81,104,159,117
405,"0405 CIN 4-E",1060,405,"38.21%",208,186,31,46,107,15,172,23,159,86,146,80,220,190,177,147,267,136,53,88,104,150,136
406,"0406 CIN 4-F",1026,364,"35.48%",202,147,24,34,108,21,171,17,161,70,164,60,198,146,143,127,249,134,66,90,98,140,112
407,"0407 CIN 4-G",1164,551,"47.34%",375,163,36,35,86,41,249,25,181,132,223,59,386,177,171,130,350,253,47,164,112,258,111
408,"0408 CIN 4-H",1576,515,"32.68%",295,209,56,65,159,41,236,42,201,138,202,98,288,209,234,161,351,228,77,121,116,214,135
501,"0501 CIN 5-A",994,459,"46.18%",313,138,39,38,79,36,229,17,188,106,235,39,286,145,162,123,328,179,62,139,91,212,111
502,"0502 CIN 5-B",1030,450,"43.69%",253,188,35,37,124,24,189,20,212,89,190,69,249,196,199,141,327,175,72,83,94,170,134
503,"0503 CIN 5-C",1595,614,"38.50%",286,305,73,104,191,28,217,33,251,139,291,107,196,250,291,278,429,200,182,81,188,237,258
504,"0504 CIN 5-D",1252,589,"47.04%",389,190,61,41,124,36,298,35,251,132,260,96,372,225,219,152,436,264,73,151,175,258,149
505,"0505 CIN 5-E",1051,460,"43.77%",255,197,23,59,125,21,189,30,179,98,164,84,246,198,188,151,296,170,62,97,90,179,128
506,"0506 CIN 5-F",828,336,"40.58%",202,131,26,33,92,9,157,17,132,73,132,53,189,145,134,108,228,125,48,77,76,133,102
507,"0507 CIN 5-G",331,128,"38.67%",87,39,4,13,27,8,56,4,43,30,44,10,66,37,43,29,90,44,21,30,18,54,29
508,"0508 CIN 5-H",977,441,"45.14%",292,139,35,36,85,22,213,22,160,119,176,50,281,153,133,126,303,161,56,112,109,209,103
509,"0509 CIN 5-I",1377,584,"42.41%",400,170,39,47,113,37,307,36,238,130,229,79,373,210,195,152,400,264,72,160,142,282,127
601,"0601 CIN 6-A",1946,513,"26.36%",179,316,43,121,207,30,168,58,255,70,156,178,161,262,301,259,299,116,94,69,76,141,245
602,"0602 CIN 6-B",642,242,"37.69%",98,142,13,46,93,16,90,23,117,30,91,96,87,120,119,125,142,65,41,25,50,64,126
603,"0603 CIN 6-C",1728,431,"24.94%",89,329,28,153,219,6,96,56,216,48,98,207,67,274,298,289,225,64,91,27,63,84,247
604,"0604 CIN 6-D",734,140,"19.07%",27,110,11,47,74,2,33,21,69,17,34,76,19,97,106,108,80,23,19,7,23,23,86
701,"0701 CIN 7-A",1276,463,"36.29%",262,180,80,78,146,10,95,82,96,184,224,32,69,128,144,262,273,216,234,10,182,253,208
702,"0702 CIN 7-B",650,177,"27.23%",99,68,44,45,60,4,25,24,31,70,93,9,30,48,55,106,93,84,102,8,67,112,87
703,"0703 CIN 7-C",1034,384,"37.14%",212,154,97,88,142,6,61,69,90,145,173,16,50,115,127,252,237,190,237,14,152,227,205
704,"0704 CIN 7-D",1259,375,"29.79%",231,130,120,79,88,2,47,53,50,174,172,20,60,115,124,202,219,200,213,17,129,221,180
705,"0705 CIN 7-E",621,240,"38.65%",149,80,55,53,71,3,35,59,38,103,108,8,33,63,86,149,136,109,147,13,115,126,126
706,"0706 CIN 7-F",929,274,"29.49%",176,91,73,58,74,4,29,41,45,119,139,8,36,72,98,164,179,162,162,10,115,164,135
707,"0707 CIN 7-G",1331,448,"33.66%",254,180,144,94,128,9,75,94,68,196,182,13,77,129,139,307,257,215,287,27,197,261,237
708,"0708 CIN 7-H",1662,524,"31.53%",299,204,139,112,169,13,88,90,86,215,223,26,91,144,155,341,321,251,329,35,249,309,260
709,"0709 CIN 7-I",1427,555,"38.89%",327,200,176,106,188,9,81,89,84,222,242,21,87,152,190,314,340,309,330,25,230,313,280
710,"0710 CIN 7-J",557,155,"27.83%",83,68,25,26,47,6,23,23,36,65,68,10,15,44,54,84,89,58,90,12,57,88,76
801,"0801 CIN 8-A",1697,335,"19.74%",183,139,51,92,115,13,64,116,72,128,143,52,60,105,136,201,199,149,165,30,127,182,174
802,"0802 CIN 8-B",590,219,"37.12%",82,127,18,45,83,9,66,22,105,39,86,48,72,112,113,113,146,55,59,21,46,64,100
803,"0803 CIN 8-C",1621,623,"38.43%",362,251,56,58,158,49,300,25,259,119,311,127,352,240,257,215,422,236,64,146,129,276,183
804,"0804 CIN 8-D",1069,207,"19.36%",83,115,26,68,77,3,38,29,70,49,81,30,31,91,96,136,124,78,98,10,65,97,120
901,"0901 CIN 9-A",1812,349,"19.26%",163,173,61,123,128,14,54,79,67,155,153,33,42,130,127,212,186,139,196,19,131,191,190
902,"0902 CIN 9-B",1270,423,"33.31%",174,233,42,81,162,24,164,28,192,80,197,84,161,214,218,212,307,130,104,48,110,136,190
903,"0903 CIN 9-C",1858,341,"18.35%",178,151,68,96,130,15,75,59,79,137,151,22,56,119,133,197,188,135,185,17,123,175,171
1001,"1001 CIN 10-A",1806,596,"33.00%",207,376,52,157,249,17,158,134,226,150,158,177,151,282,327,342,317,191,158,85,109,185,306
1002,"1002 CIN 10-B",1669,207,"12.40%",76,124,29,85,106,7,37,40,89,34,60,51,19,111,119,155,129,56,98,8,52,64,120
1101,"1101 CIN 11-A",1451,345,"23.78%",130,204,21,69,157,21,110,41,144,51,154,103,101,176,204,186,218,97,70,47,76,101,153
1102,"1102 CIN 11-B",1639,197,"12.02%",74,118,20,42,81,10,65,24,89,43,87,50,48,91,101,113,120,49,43,21,47,54,92
1103,"1103 CIN 11-C",1494,163,"10.91%",56,99,15,28,63,14,57,25,59,33,69,41,36,69,88,80,96,42,43,16,34,53,73
1201,"1201 CIN 12-A",2108,363,"17.22%",157,191,42,57,129,30,138,36,122,80,177,101,109,129,157,155,201,107,78,49,97,125,134
1202,"1202 CIN 12-B",2081,83,"3.99%",34,44,12,21,38,5,20,13,31,20,24,33,22,41,42,45,41,28,22,13,23,22,35
1203,"1203 CIN 12-C",1999,274,"13.71%",119,142,32,81,88,8,63,52,73,62,111,44,47,113,107,159,166,86,121,15,97,115,132
1301,"1301 CIN 13-A",1735,287,"16.54%",137,124,70,62,94,2,33,94,42,105,143,5,34,89,96,176,149,134,171,9,121,155,160
1302,"1302 CIN 13-B",1659,361,"21.76%",152,198,52,63,121,9,100,29,120,88,133,62,115,135,154,177,214,172,106,27,124,131,169
1303,"1303 CIN 13-C",1754,291,"16.59%",138,137,51,82,94,3,40,72,54,120,125,10,31,99,96,197,175,122,184,15,121,147,158
1304,"1304 CIN 13-D",1674,386,"23.06%",198,165,67,91,112,5,67,77,71,139,180,15,60,105,133,217,234,208,242,17,150,208,209
1305,"1305 CIN 13-E",1243,553,"44.49%",249,280,78,110,217,19,139,80,193,110,228,70,118,221,260,322,375,225,240,32,190,207,276
1306,"1306 CIN 13-F",949,417,"43.94%",173,229,67,100,177,11,76,67,116,100,157,51,52,174,195,267,260,154,238,22,150,166,238
1401,"1401 CIN 14-A",1134,450,"39.68%",193,241,55,69,187,32,164,36,182,104,193,109,166,203,215,207,301,149,151,62,135,177,201
1402,"1402 CIN 14-B",1263,450,"35.63%",222,202,65,110,225,8,51,79,86,145,194,25,52,174,158,279,254,169,271,18,203,237,260
1403,"1403 CIN 14-C",467,248,"53.10%",114,128,17,34,98,17,103,18,111,42,116,60,87,116,117,88,180,81,60,26,55,87,91
1404,"1404 CIN 14-D",1402,614,"43.79%",294,303,65,102,318,17,156,66,193,163,290,91,144,265,288,347,408,212,237,39,214,270,323
1405,"1405 CIN 14-E",1252,442,"35.30%",222,206,48,59,235,21,158,56,140,127,199,86,108,179,206,214,276,169,154,42,163,184,172
1406,"1406 CIN 14-F",939,460,"48.99%",224,217,46,94,267,12,108,61,120,111,221,61,88,179,187,258,296,159,211,26,159,222,251
1407,"1407 CIN 14-G",565,279,"49.38%",124,146,32,32,138,15,100,22,127,54,112,95,85,126,138,118,188,79,76,36,72,91,115
1408,"1408 CIN 14-H",1195,463,"38.74%",207,241,54,76,202,39,161,40,170,109,174,142,152,206,222,207,306,141,123,62,135,159,179
1409,"1409 CIN 14-I",1708,468,"27.40%",245,211,84,75,206,36,168,63,156,122,213,77,151,190,204,227,290,176,158,47,163,200,198
1501,"1501 CIN 15-A",1333,404,"30.31%",138,254,59,89,205,14,116,39,172,74,149,139,78,217,239,237,246,103,116,24,98,113,199
1502,"1502 CIN 15-B",1487,517,"34.77%",200,307,33,111,235,18,131,49,259,95,292,136,126,239,269,308,337,138,139,47,146,154,276
1503,"1503 CIN 15-C",1078,213,"19.76%",124,79,38,54,62,3,32,55,40,86,86,15,27,50,84,132,127,117,115,7,89,109,109
1504,"1504 CIN 15-D",801,308,"38.45%",158,133,48,96,94,4,39,63,60,107,125,14,42,87,102,191,163,158,184,6,108,150,179
1505,"1505 CIN 15-E",1415,498,"35.19%",137,343,27,98,262,15,127,35,263,42,286,162,108,286,312,273,342,99,119,30,114,85,234
1506,"1506 CIN 15-F",633,290,"45.81%",130,152,36,35,116,21,92,21,126,54,185,46,89,136,153,133,186,77,89,30,79,110,133
1507,"1507 CIN 15-G",668,266,"39.82%",124,135,30,46,100,7,86,15,107,61,153,48,80,118,138,139,177,74,95,38,87,98,127
1508,"1508 CIN 15-H",1058,576,"54.44%",205,358,36,69,266,29,208,27,323,67,383,122,177,303,339,277,418,126,150,56,131,149,243
1509,"1509 CIN 15-I",999,359,"35.94%",113,236,24,68,193,13,110,19,189,34,193,105,101,189,202,186,237,81,81,35,81,86,159
1510,"1510 CIN 15-J",853,200,"23.45%",100,84,41,43,62,4,26,43,29,83,82,11,31,42,53,120,100,99,122,8,87,124,105
1601,"1601 CIN 16-A",1113,232,"20.84%",95,133,25,67,91,14,66,21,86,45,65,47,57,109,125,131,148,77,86,31,41,85,114
1701,"1701 CIN 17-A",1829,331,"18.10%",147,169,71,118,111,2,56,76,61,120,174,26,39,118,118,233,183,126,206,22,102,174,188
1702,"1702 CIN 17-B",1497,220,"14.70%",51,162,22,78,113,5,31,23,124,38,58,108,30,134,148,160,122,50,49,18,42,61,135
1703,"1703 CIN 17-C",800,184,"23.00%",55,126,36,70,85,3,36,26,75,33,49,47,28,98,102,128,121,46,83,11,57,59,111
1801,"1801 CIN 18-A",1009,188,"18.63%",89,88,28,41,58,6,33,60,43,65,77,17,21,51,77,114,104,77,85,8,51,97,103
1802,"1802 CIN 18-B",665,106,"15.94%",52,47,30,28,43,3,15,16,19,43,51,7,7,31,40,65,50,40,60,4,28,56,56
1901,"1901 CIN 19-A",856,322,"37.62%",278,36,42,26,61,57,202,32,110,98,159,28,220,65,112,36,196,207,51,122,57,194,58
1902,"1902 CIN 19-B",1118,499,"44.63%",420,70,72,58,92,99,310,44,133,163,247,51,327,106,139,79,323,295,80,184,99,278,84
1903,"1903 CIN 19-C",1262,367,"29.08%",291,65,57,28,78,64,226,37,101,117,204,37,214,87,110,65,248,183,59,124,92,204,67
1904,"1904 CIN 19-D",409,43,"10.51%",36,7,5,3,14,8,24,3,14,17,24,7,20,14,16,13,29,22,13,12,10,25,11
2001,"2001 CIN 20-A",2142,352,"16.43%",266,77,59,47,94,70,194,54,96,112,156,47,173,80,115,92,233,168,82,103,89,190,80
2002,"2002 CIN 20-B",974,187,"19.20%",136,45,22,26,57,30,87,19,62,53,95,27,80,52,68,59,130,77,45,83,48,99,49
2003,"2003 CIN 20-C",1539,409,"26.58%",293,105,60,35,129,58,211,40,144,136,211,75,199,119,146,122,281,209,92,174,88,198,108
2004,"2004 CIN 20-D",1307,318,"24.33%",194,118,42,44,101,47,150,23,127,75,158,59,147,105,128,117,207,113,77,156,75,155,103
2101,"2101 CIN 21-A",605,103,"17.02%",56,45,17,17,41,11,38,12,34,33,44,15,36,33,42,47,63,42,37,25,24,52,40
2102,"2102 CIN 21-B",1873,216,"11.53%",125,83,31,41,67,14,61,37,37,78,111,16,54,73,82,111,112,88,96,31,81,123,98
2103,"2103 CIN 21-C",1229,175,"14.24%",124,43,21,29,43,33,80,13,53,62,84,26,79,58,83,54,120,94,45,45,36,112,52
