"PRC #","PRECINCT","REGISTERED VOTERS TOTAL","BALLOTS CAST TOTAL","PERCENT","John Cranley","Yvette Simpson","Derek Bauman","Erica L. Black-Johnson","Cristina Burcica","Ozie Davis","Tamaya Dennard","Michelle Dillingham","Tonya Dumas","Manuel Foggie","Henry Frondorf","Brian Garry","Lesley Jones","Greg Landsman","Seth Maney","David Mann","Amy Murray","Jeff Pastor","Kelli Prather","Laure Quinlivan","Chris Seelbach","P.G. Sittenfeld","Christopher E. C. Smitherman","Tamie Sullivan","Dadrien Washington (Write-in)","Wendell Young"
101,"0101 CIN 1-A",291,89,"30.58%",78,7,13,5,12,9,18,18,4,1,16,10,11,22,39,37,61,43,5,15,28,38,42,16,0,22
102,"0102 CIN 1-B",1226,596,"48.61%",433,146,146,36,57,110,170,184,31,32,90,79,113,293,149,313,334,194,38,183,247,359,264,73,1,191
103,"0103 CIN 1-C",1438,508,"35.33%",353,140,125,24,38,84,142,157,35,30,95,67,103,251,116,269,253,177,35,117,219,291,211,55,0,147
104,"0104 CIN 1-D",743,215,"28.94%",152,61,49,14,11,42,65,67,11,5,26,17,45,80,47,113,111,71,15,68,104,126,72,20,0,73
105,"0105 CIN 1-E",1147,366,"31.91%",249,107,74,24,43,63,122,107,35,26,50,41,92,169,80,179,183,121,32,97,160,215,147,56,0,124
106,"0106 CIN 1-F",1142,519,"45.45%",376,122,127,24,38,89,132,151,28,22,77,77,105,261,124,268,266,169,30,110,225,290,232,69,0,131
107,"0107 CIN 1-G",671,261,"38.90%",166,86,55,16,23,44,73,82,27,12,43,42,57,117,59,152,119,75,17,66,121,142,119,31,0,87
108,"0108 CIN 1-H",658,239,"36.32%",166,65,52,7,17,45,68,56,7,6,40,26,39,97,87,110,144,96,13,79,120,139,101,30,0,61
109,"0109 CIN 1-I",1079,461,"42.72%",324,119,102,27,33,88,115,144,27,27,89,71,116,207,112,256,227,164,36,109,220,278,207,51,0,152
110,"0110 CIN 1-J",1201,409,"34.05%",292,107,101,9,19,57,107,109,9,7,51,52,75,160,105,222,207,128,13,131,179,243,162,48,0,99
111,"0111 CIN 1-K",1132,336,"29.68%",230,93,94,23,35,65,94,90,26,17,49,49,80,138,75,179,180,114,28,87,141,197,140,43,0,102
112,"0112 CIN 1-L",658,294,"44.68%",225,53,75,7,20,35,70,73,15,6,43,33,45,119,92,135,172,114,11,72,124,172,138,41,0,68
113,"0113 CIN 1-M",1009,435,"43.11%",347,73,95,8,26,48,89,105,6,7,79,28,65,154,132,228,284,176,9,180,190,266,193,60,0,104
201,"0201 CIN 2-A",1205,402,"33.36%",209,184,77,41,33,128,158,159,43,15,39,37,134,153,51,241,134,153,60,98,191,247,158,49,1,208
202,"0202 CIN 2-B",1501,503,"33.51%",240,252,115,35,25,232,240,196,46,34,43,72,202,190,42,305,149,191,115,108,250,338,207,39,0,289
203,"0203 CIN 2-C",1762,364,"20.66%",206,144,89,33,34,87,136,136,27,23,44,55,110,135,58,165,146,118,44,97,182,208,132,38,0,143
204,"0204 CIN 2-D",1346,460,"34.18%",229,217,116,39,31,143,212,186,48,25,61,67,157,185,49,264,172,155,60,147,253,319,183,53,0,232
205,"0205 CIN 2-E",1113,429,"38.54%",305,104,96,30,36,60,92,112,25,27,49,51,73,143,103,197,228,135,36,119,180,217,175,71,0,122
206,"0206 CIN 2-F",1321,403,"30.51%",136,259,97,43,20,136,197,145,61,30,26,65,130,137,31,233,102,158,43,122,205,272,188,46,0,241
207,"0207 CIN 2-G",870,442,"50.80%",366,67,89,8,16,44,94,91,9,13,64,34,59,169,125,274,298,119,19,144,202,276,224,49,0,98
208,"0208 CIN 2-H",952,236,"24.79%",102,129,66,14,12,74,111,81,20,20,27,33,77,90,27,144,81,73,22,55,129,157,100,32,1,115
209,"0209 CIN 2-I",1148,412,"35.89%",205,196,111,31,28,141,175,154,39,24,30,67,137,168,67,237,157,133,47,113,222,284,200,69,0,207
210,"0210 CIN 2-J",1288,401,"31.13%",274,114,117,22,37,70,134,120,20,20,53,63,89,172,78,206,193,124,25,113,209,248,157,44,0,133
211,"0211 CIN 2-K",1479,511,"34.55%",327,172,153,37,42,103,173,177,45,19,53,68,132,218,96,281,220,129,40,146,241,323,181,44,0,188
301,"0301 CIN 3-A",1194,327,"27.39%",84,237,60,55,12,163,144,87,82,37,8,38,112,63,7,174,49,146,97,72,135,194,165,19,1,234
302,"0302 CIN 3-B",903,357,"39.53%",198,146,93,12,29,95,155,130,31,14,47,61,83,173,57,197,121,94,25,103,175,242,137,34,0,150
303,"0303 CIN 3-C",1132,463,"40.90%",270,180,86,38,24,130,151,130,53,20,52,42,125,179,64,290,203,172,42,150,200,281,218,45,0,195
304,"0304 CIN 3-D",1640,352,"21.46%",77,260,84,44,7,154,197,141,82,35,8,43,110,92,10,161,53,147,81,73,144,214,159,23,0,232
305,"0305 CIN 3-E",1435,380,"26.48%",94,275,69,50,12,196,192,175,91,38,25,48,171,134,12,207,64,183,52,98,170,243,159,30,1,256
401,"0401 CIN 4-A",940,460,"48.94%",292,157,134,20,39,70,155,137,36,18,61,72,87,226,87,292,214,109,34,174,244,308,179,60,0,142
402,"0402 CIN 4-B",1036,453,"43.73%",342,98,110,12,30,72,138,142,14,18,68,56,90,200,110,216,226,119,24,166,216,268,171,49,1,123
403,"0403 CIN 4-C",827,303,"36.64%",202,94,91,8,10,59,123,122,15,9,29,46,69,152,68,165,132,80,9,109,164,223,104,36,0,102
