PRC #,PRECINCT,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,PERCENT,David              Mann,Aftab        Pureval,Jalen                   Alford ,"Thomas Brinkman, Jr.",Jaime M.    Castle,LaKeisha N.   Cook,Jeff M. Cramerding,Michelle Dillingham,Kevin                Flynn,Jackie    Frondorf,Bill                     Frost,Brian                  Garry,Steven P. Goodin,Galen G. Gordon,Kurt L. Grossman,Reggie         Harris,Rob                  Harris II,"K.A.               Heard, Jr.",Evan                 Holt,Nick                  Jabin,Mark       Jeffreys,Scotty Johnson,Jan-Michele Lemon Kearney,Liz           Keating,Andrew E. Kennedy,Greg Landsman,John           Maher,Peterson W. Mingo,Phillip       O'Neal,Meeka D. Owens,Victoria      Parks,Te'Airea      Powell,Logan Simmering,Stacey            Smith,Betsy Sundermann,Jim              Tarbell,John J. Williams
101,0101 CIN 1-A,312,84,26.92%,57,25,1,47,7,4,19,15,24,14,7,8,45,4,11,12,1,1,1,2,13,17,24,58,6,19,4,0,11,14,14,1,1,8,52,21,12
102,0102 CIN 1-B,"1,287",507,39.39%,211,274,18,181,119,43,201,135,169,65,45,78,162,57,57,188,14,11,48,33,175,160,230,224,39,254,31,20,109,172,167,12,17,48,176,116,60
103,0103 CIN 1-C,"1,211",309,25.52%,99,200,22,76,103,39,134,126,78,57,24,78,75,28,22,136,9,10,41,24,108,90,135,123,16,173,10,11,73,121,110,10,15,22,97,75,30
104,0104 CIN 1-D,784,219,27.93%,90,120,12,54,24,24,76,53,68,31,28,25,62,22,25,91,3,7,19,15,78,62,95,90,12,99,8,14,63,75,70,9,8,16,69,41,39
105,0105 CIN 1-E,"1,302",294,22.58%,133,152,16,102,49,27,114,71,96,25,28,45,94,23,24,121,7,6,12,28,101,91,111,133,15,130,11,18,71,103,100,17,8,15,104,75,37
106,0106 CIN 1-F,"1,179",472,40.03%,220,240,18,155,121,33,163,90,180,74,36,55,159,25,57,174,10,15,16,17,146,152,187,218,23,241,8,14,120,151,164,19,18,24,177,120,46
107,0107 CIN 1-G,"1,000",337,33.70%,150,177,11,112,66,34,93,101,115,47,33,53,119,30,32,103,14,7,21,29,99,96,128,156,16,148,13,17,70,104,105,22,9,22,131,91,42
108,0108 CIN 1-H,716,252,35.20%,111,134,8,87,52,8,78,65,84,23,29,43,95,10,22,93,4,7,14,3,88,71,111,125,17,123,6,3,42,74,79,3,8,9,106,63,66
109,0109 CIN 1-I,"1,149",388,33.77%,171,200,12,131,84,20,118,86,107,54,42,68,124,33,34,147,8,11,32,26,111,131,149,170,20,181,19,13,107,121,138,11,5,31,149,101,44
110,0110 CIN 1-J,"1,205",397,32.95%,190,196,15,138,46,20,129,83,99,41,18,43,163,17,29,145,9,6,25,9,133,105,168,193,14,186,9,9,88,134,124,14,10,14,158,112,66
