"Name","Incumbancy_Status","Party_Affiliation"
"Angella Beamon","NI","Un"
"Shawn Butler","NI","D"
"Michelle Dillingham","NI","D"
"Timothy Dombusch","NI","Un"
"Kevin Flynn","NI","Un"
"Kevin Johnson","NI","Un"
"Greg Landsman","NI","D"
"Sam Malone","NI","R"
"David Mann","NI","D"
"Mike Moroski","NI","Un"
"Amy Murray","NI","R"
"Laure Quinlivan","I","D"
"Chris Seelbach","I","D"
"Yvette Simpson","I","D"
"P.G. Sittenfield","I","D"
"Christopher Smitherman","I","Un"
"Pam Thomas","I","D"
"Melissa Wegman","NI","R"
"Charlie Winburn","I","R"
"Wendell Young","I","D"
"Vanessa White","NI","Un"
