"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","Early Under Vote","Early Over Vote","Election Under Vote","Election Over Votes","over votes","under votes"
1,"CITY OF CHEVIOT For Mayor (Vote For 1)","Samuel D. Keller","DEM",930,100.00,0,0,4,4,"30","0","325","0","0","0"
2,"CITY OF CHEVIOT For Auditor (Vote For 1)","Theresa Elizabeth Ciolino-Klein","DEM",896,100.00,0,0,4,4,"33","0","356","0","0","0"
3,"CITY OF CHEVIOT For Director of Law (Vote For 1)","Kimberlee Erdman Rohr","DEM",714,57.35,0,0,4,4,"3","0","36","1","0","0"
4,"CITY OF CHEVIOT For Director of Law (Vote For 1)","Deborah M. Slaughter","REP",531,42.65,0,0,4,4,"3","0","36","1","0","0"
5,"CITY OF CHEVIOT For Member of Council at Large (Vote For 3)","Kathleen Zech","REP",689,23.70,0,0,4,4,"98","0","844","2","0","0"
6,"CITY OF CHEVIOT For Member of Council at Large (Vote For 3)","Amy Luken-Richter","REP",646,22.22,0,0,4,4,"98","0","844","2","0","0"
7,"CITY OF CHEVIOT For Member of Council at Large (Vote For 3)","Anita Gail Griffin","DEM",608,20.92,0,0,4,4,"98","0","844","2","0","0"
8,"CITY OF CHEVIOT For Member of Council at Large (Vote For 3)","Kerry W. Smyth","REP",580,19.95,0,0,4,4,"98","0","844","2","0","0"
9,"CITY OF CHEVIOT For Member of Council at Large (Vote For 3)","J. Danielle Petermann","",384,13.21,0,0,4,4,"98","0","844","2","0","0"
10,"CITY OF DEER PARK For Mayor (Vote For 1)","John D. Donnellon","",882,100.00,0,0,4,4,"37","0","232","0","0","0"
11,"CITY OF DEER PARK For President of Council (Vote For 1)","Shaughn T. Daily","",795,100.00,0,0,4,4,"40","0","316","0","0","0"
12,"CITY OF DEER PARK For Auditor (Vote For 1)","John C. Applegate","",818,100.00,0,0,4,4,"40","0","293","0","0","0"
13,"CITY OF DEER PARK For Director of Law (Vote For 1)","Andrew J. Helmes","",785,100.00,0,0,4,4,"44","0","322","0","0","0"
14,"CITY OF DEER PARK For Member of Council at Large (Vote For 3)","Thomas H. Camp","",680,34.82,0,0,4,4,"168","0","1332","0","0","0"
15,"CITY OF DEER PARK For Member of Council at Large (Vote For 3)","Mark J. Feldhaus","",674,34.51,0,0,4,4,"168","0","1332","0","0","0"
16,"CITY OF DEER PARK For Member of Council at Large (Vote For 3)","Daniel Lehane","",599,30.67,0,0,4,4,"168","0","1332","0","0","0"
17,"CITY OF DEER PARK For Member of Council (1st Ward) (Vote For 1)","Lori Newsom","",180,66.42,0,0,1,1,"2","0","11","0","0","0"
18,"CITY OF DEER PARK For Member of Council (1st Ward) (Vote For 1)","Kerry K. Baker","",91,33.58,0,0,1,1,"2","0","11","0","0","0"
19,"CITY OF DEER PARK For Member of Council (2nd Ward) (Vote For 1)","Michael W. Rapp","",174,100.00,0,0,1,1,"9","0","75","0","0","0"
20,"CITY OF DEER PARK For Member of Council (3rd Ward) (Vote For 1)","Kathy L. Downs","",150,56.60,0,0,1,1,"3","1","12","0","0","0"
21,"CITY OF DEER PARK For Member of Council (3rd Ward) (Vote For 1)","Emily Culver","",115,43.40,0,0,1,1,"3","1","12","0","0","0"
22,"CITY OF DEER PARK For Member of Council (4th Ward) (Vote For 1)","Charles Tassell","",198,63.06,0,0,1,1,"2","0","10","2","0","0"
23,"CITY OF DEER PARK For Member of Council (4th Ward) (Vote For 1)","Shawn Gavin","",116,36.94,0,0,1,1,"2","0","10","2","0","0"
24,"CITY OF HARRISON For Mayor (Vote For 1)","William A. Neyer","REP",1705,100.00,0,0,6,6,"40","0","478","0","0","0"
