GEOID,NAME,pop_totalE,whiteE,blackE,asianE,hispanicE,median_ageE,med_incomeE,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80plus,geometry
390610210022,Block Group 2; Census Tract 210.02; Hamilton County; Ohio,1028,976,16,0,32,31.5,87778,135,124,226,179,79,108,128,19,30,"list(list(c(-84.649521, -84.644646, -84.645034, -84.640484, -84.639296, -84.636964, -84.637096, -84.642724, -84.642851, -84.650113, -84.649521, 39.15815, 39.159219, 39.153874, 39.153648, 39.153191, 39.15303, 39.151839, 39.151971, 39.150298, 39.150761, 39.15815)))"
390610080004,Block Group 4; Census Tract 80; Hamilton County; Ohio,994,179,750,0,0,27.9,NA,196,27,322,0,160,0,289,0,0,"list(list(c(-84.523931, -84.519199, -84.514394, -84.514683, -84.512524, -84.512164, -84.51062, -84.510961, -84.515756, -84.518806, -84.520624, -84.523939, -84.523931, 39.190506, 39.190538, 39.190132, 39.185831, 39.183628, 39.181646, 39.17983, 39.178022, 39.179708, 39.181792, 39.181632, 39.187316, 39.190506)))"
390610256001,Block Group 1; Census Tract 256; Hamilton County; Ohio,585,561,17,0,0,30.2,92778,112,52,123,165,113,8,0,4,8,"list(list(c(-84.457722, -84.455349, -84.455498, -84.456037, -84.458495, -84.457722, 39.154454, 39.153448, 39.152256, 39.147296, 39.146552, 39.154454)))"
390610102023,Block Group 3; Census Tract 102.02; Hamilton County; Ohio,712,461,186,0,31,36,74844,113,38,89,122,22,200,80,23,25,"list(list(c(-84.604258, -84.595747, -84.59493, -84.595201, -84.597087, -84.59789, -84.600166, -84.602251, -84.60472, -84.604258, 39.140508, 39.140259, 39.140737, 39.138119, 39.138373, 39.134621, 39.135148, 39.136036, 39.136294, 39.140508)))"
390610208114,Block Group 4; Census Tract 208.11; Hamilton County; Ohio,367,199,66,0,0,32.4,70855,45,40,59,59,13,12,114,14,11,"list(list(c(-84.580645, -84.573507, -84.570492, -84.569441, -84.569373, -84.57099, -84.571407, -84.572959, -84.575341, -84.581333, -84.580645, 39.189373, 39.189114, 39.191151, 39.189661, 39.188288, 39.18685, 39.185851, 39.18585, 39.182644, 39.182934, 39.189373)))"
390610047032,Block Group 2; Census Tract 47.03; Hamilton County; Ohio,1468,1314,38,10,112,32.8,105375,156,131,267,398,124,172,191,21,8,"list(list(c(-84.439286, -84.435803, -84.434176, -84.428382, -84.42958, -84.4276, -84.426616, -84.424266, -84.424485, -84.420649, -84.418472, -84.417206, -84.418374, -84.421412, -84.427595, -84.430775, -84.437405, -84.439286, 39.1172, 39.122264, 39.121543, 39.120248, 39.119215, 39.117986, 39.115931, 39.117093, 39.119526, 39.120356, 39.123026, 39.122218, 39.120891, 39.115839, 39.109218, 39.108611, 39.116401, 39.1172)))"
390610251026,Block Group 6; Census Tract 251.02; Hamilton County; Ohio,1764,1628,0,0,136,39.5,109875,167,350,191,182,305,240,149,116,64,"list(list(c(-84.346225, -84.344589, -84.339204, -84.336974, -84.331136, -84.332, -84.333089, -84.345642, -84.345858, -84.346612, -84.346225, 39.091379, 39.090654, 39.089639, 39.088592, 39.088557, 39.079479, 39.079943, 39.083927, 39.087153, 39.088092, 39.091379)))"
390610238003,Block Group 3; Census Tract 238; Hamilton County; Ohio,937,560,23,0,0,33,116763,140,144,69,295,32,126,45,43,43,"list(list(c(-84.40923, -84.409014, -84.404081, -84.40431, -84.404535, -84.404843, -84.4098, -84.40923, 39.19935, 39.201631, 39.201268, 39.19898, 39.196633, 39.194006, 39.194394, 39.19935)))"
390610033002,Block Group 2; Census Tract 33; Hamilton County; Ohio,1563,1096,152,194,0,21.8,25500,0,187,1143,126,18,89,0,0,0,"list(list(c(-84.511168, -84.511395, -84.511006, -84.505898, -84.506399, -84.508384, -84.511666, -84.511168, 39.127973, 39.1288, 39.133015, 39.132677, 39.128109, 39.127116, 39.127326, 39.127973)))"
390610009002,Block Group 2; Census Tract 9; Hamilton County; Ohio,645,377,197,51,0,46.5,103607,0,23,98,140,106,139,109,12,18,"list(list(c(-84.516962, -84.51536, -84.515063, -84.514478, -84.514957, -84.516095, -84.516962, 39.110344, 39.11059, 39.109444, 39.107161, 39.10708, 39.106888, 39.110344)))"
390610215061,Block Group 1; Census Tract 215.06; Hamilton County; Ohio,566,208,290,68,35,32.7,66339,33,61,169,52,53,20,109,56,13,"list(list(c(-84.512606, -84.511, -84.508613, -84.508062, -84.50451, -84.503474, -84.503602, -84.503793, -84.505934, -84.511227, -84.512606, 39.29746, 39.29858, 39.298234, 39.296767, 39.29688, 39.29602, 39.294601, 39.292161, 39.292259, 39.296269, 39.29746)))"
390610070002,Block Group 2; Census Tract 70; Hamilton County; Ohio,1062,628,209,189,46,30.7,70506,12,109,383,202,54,126,84,46,46,"list(list(c(-84.518331, -84.514225, -84.510674, -84.509977, -84.511197, -84.513472, -84.513247, -84.516299, -84.515459, -84.519165, -84.518331, 39.151331, 39.151911, 39.15152, 39.15089, 39.149684, 39.145617, 39.14515, 39.145843, 39.143535, 39.143782, 39.151331)))"
390610240021,Block Group 1; Census Tract 240.02; Hamilton County; Ohio,3116,2540,144,347,78,51.7,106705,448,187,125,296,444,497,557,190,372,"list(list(c(-84.38449, -84.380929, -84.378461, -84.376955, -84.375846, -84.371835, -84.370801, -84.368534, -84.366734, -84.364694, -84.362994, -84.356276, -84.356695, -84.356735, -84.357473, -84.358804, -84.360978, -84.361698, -84.363152, -84.364468, -84.366061, -84.367586, -84.368401, -84.369953, -84.369217, -84.370046, -84.381175, -84.386466, -84.38449, 39.193451, 39.194456, 39.195246, 39.196185, 39.197392, 39.205761, 39.20931, 39.219924, 39.225029, 39.224104, 39.223733, 39.223227, 39.221874, 39.221742, 
39.219287, 39.215004, 39.212418, 39.204706, 39.204776, 39.204921, 39.205104, 39.205234, 39.204536, 39.202942, 39.200519, 39.191528, 39.192117, 39.192547, 39.193451)))"
390610211021,Block Group 1; Census Tract 211.02; Hamilton County; Ohio,1207,1163,0,0,0,50.6,78203,104,175,46,80,171,203,103,124,201,"list(list(c(-84.669768, -84.666971, -84.666457, -84.661839, -84.653639, -84.649521, -84.650113, -84.650555, -84.667786, -84.669768, 39.144586, 39.150567, 39.153526, 39.152882, 39.154402, 39.15815, 39.150761, 39.143379, 39.144438, 39.144586)))"
390610100043,Block Group 3; Census Tract 100.04; Hamilton County; Ohio,564,74,424,58,0,30.7,NA,89,126,0,225,0,21,103,0,0,"list(list(c(-84.596471, -84.589789, -84.589586, -84.588108, -84.587864, -84.585964, -84.582945, -84.578515, -84.57731, -84.577672, -84.580982, -84.583108, -84.585086, -84.586646, -84.590146, -84.594145, -84.59652, -84.596471, 39.126691, 39.126247, 39.128153, 39.128587, 39.131066, 39.12969, 39.128753, 39.129164, 39.128708, 39.126604, 39.12478, 39.122698, 39.122594, 39.121063, 39.122062, 39.125561, 39.126265, 39.126691)))"
