Precincts,Total Votes,JMLK,S Johnson,Owens,Albi,Jeffreys,Walsh,Cramerding,Nolan,R James,Keating,Smither,Cole,Matthews,Driehaus,Favors,Goodin,Mallory,Johnson,Weiner,Prophett,Pryor,Corbett,Brooks,Washington,Nixon,Farmer,Ennix
0101 CIN 1-A,815,38,33,35,38,44,50,34,36,34,103,65,7,79,27,65,36,7,12,30,4,2,9,4,5,7,11,0
0102 CIN 1-B,4857,399,365,357,392,389,375,358,372,345,280,187,76,138,105,141,129,44,55,64,41,24,77,38,37,29,40,0
0103 CIN 1-C,3125,259,248,261,276,268,258,260,253,237,144,87,52,79,47,79,57,23,49,35,30,6,38,27,17,19,16,0
0104 CIN 1-D,2367,193,176,168,190,181,161,169,173,161,157,77,50,75,63,78,56,27,37,32,20,21,28,21,18,12,23,0
0105 CIN 1-E,3093,255,234,239,254,253,217,232,213,206,175,120,80,84,61,82,63,29,57,51,31,12,42,30,29,19,21,4
0106 CIN 1-F,3966,320,288,285,312,318,302,314,303,250,290,174,50,129,93,130,123,33,37,54,29,10,41,20,17,18,25,1
0107 CIN 1-G,2987,225,206,214,233,229,206,207,212,192,192,133,60,118,61,103,94,33,42,38,30,22,41,28,25,20,22,1
0108 CIN 1-H,2017,166,147,135,154,155,135,144,156,139,166,92,21,93,42,89,59,13,15,20,11,5,23,5,8,10,14,0
0109 CIN 1-I,3511,281,257,266,279,295,267,264,266,250,223,148,55,134,59,132,62,33,37,38,32,12,35,27,25,16,17,1
0110 CIN 1-J,3439,272,256,244,283,274,269,242,245,221,275,130,57,113,65,110,83,29,45,51,29,14,39,20,31,21,19,2
0111 CIN 1-K,3038,253,246,256,266,272,239,234,241,229,154,89,56,68,50,71,55,36,33,35,17,11,30,34,18,17,28,0
0112 CIN 1-L,2157,168,159,140,155,151,155,156,144,119,176,120,32,94,44,83,57,20,27,39,18,11,22,21,15,10,18,3
0113 CIN 1-M,2840,238,226,168,208,206,201,185,199,171,275,151,36,117,58,104,92,20,31,47,23,14,27,13,16,7,5,2
0201 CIN 2-A,3441,328,310,281,295,268,236,233,247,258,129,112,126,60,55,57,36,70,65,31,62,40,29,36,31,22,24,0
0202 CIN 2-B,3984,371,350,342,339,299,285,269,287,281,169,133,137,101,54,58,56,92,49,42,52,66,32,29,40,26,22,3
0203 CIN 2-C,2393,221,198,204,214,207,189,186,191,192,92,45,52,42,32,39,34,43,32,24,27,21,28,22,26,19,12,1
0204 CIN 2-D,4611,413,406,395,426,391,383,368,346,344,192,141,122,109,66,84,55,59,60,38,40,45,26,21,36,27,18,0
0205 CIN 2-E,3720,299,287,263,292,274,268,271,276,232,260,163,66,133,75,137,96,36,31,61,34,28,34,26,28,32,18,0
0206 CIN 2-F,4334,407,396,395,414,367,352,343,352,343,157,105,131,59,46,50,45,70,46,40,48,31,40,28,23,19,27,0
0207 CIN 2-G,3570,317,282,240,272,266,235,244,262,206,306,193,50,131,77,115,118,30,32,74,26,12,22,11,22,8,19,0
