Council at Large (Vote For 9)
                                                            Jan-Michele Lemon Kearney                                                                 Scotty Johnson                                                                            Meeka D. Owens                                                                            Anna Albi                                                                                 Mark Jeffreys                                                                             Seth Walsh                                                                                Jeff Cramerding                                                                           Evan Nolan                                                                                Ryan James                                                                                Liz Keating                                                                               Christopher E. C. Smitherman                                                              Laketa Cole                                                                               Linda Matthews                                                                            Don Driehaus                                                                              Gary Favors                                                                               Steven P. Goodin                                                                          Dale Mallory                                                                              Dawn Johnson                                                                              Aaron Weiner                                                                              Raffel Prophett                                                                           Stephan Pryor                                                                             Jerry Corbett                                                                             Audricia Brooks                                                                           Donald Washington                                                                         Brandon Nixon                                                                             Kevin Farmer                                                                              Brian Ennix (W)                                                                           
Precinct                      Registered Voters             Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Total                         
0101 CIN 1-A                  349                           35                            3                             38                            30                            3                             33                            32                            3                             35                            35                            3                             38                            41                            3                             44                            47                            3                             50                            31                            3                             34                            33                            3                             36                            31                            3                             34                            100                           3                             103                           65                            0                             65                            7                             0                             7                             76                            3                             79                            27                            0                             27                            62                            3                             65                            36                            0                             36                            7                             0                             7                             12                            0                             12                            30                            0                             30                            4                             0                             4                             2                             0                             2                             9                             0                             9                             4                             0                             4                             5                             0                             5                             7                             0                             7                             11                            0                             11                            0                             0                             0                             815                           
0102 CIN 1-B                  1366                          332                           67                            399                           298                           67                            365                           301                           56                            357                           327                           65                            392                           323                           66                            389                           310                           65                            375                           298                           60                            358                           310                           62                            372                           285                           60                            345                           237                           43                            280                           163                           24                            187                           67                            9                             76                            118                           20                            138                           87                            18                            105                           124                           17                            141                           105                           24                            129                           40                            4                             44                            46                            9                             55                            51                            13                            64                            33                            8                             41                            17                            7                             24                            69                            8                             77                            32                            6                             38                            32                            5                             37                            27                            2                             29                            37                            3                             40                            0                             0                             0                             4857                          
0103 CIN 1-C                  1180                          203                           56                            259                           195                           53                            248                           204                           57                            261                           220                           56                            276                           213                           55                            268                           205                           53                            258                           208                           52                            260                           202                           51                            253                           185                           52                            237                           122                           22                            144                           71                            16                            87                            41                            11                            52                            65                            14                            79                            33                            14                            47                            63                            16                            79                            45                            12                            57                            22                            1                             23                            36                            13                            49                            26                            9                             35                            26                            4                             30                            5                             1                             6                             27                            11                            38                            22                            5                             27                            16                            1                             17                            15                            4                             19                            13                            3                             16                            0                             0                             0                             3125                          
0104 CIN 1-D                  876                           140                           53                            193                           128                           48                            176                           119                           49                            168                           139                           51                            190                           130                           51                            181                           118                           43                            161                           124                           45                            169                           125                           48                            173                           112                           49                            161                           124                           33                            157                           60                            17                            77                            39                            11                            50                            64                            11                            75                            48                            15                            63                            68                            10                            78                            43                            13                            56                            23                            4                             27                            27                            10                            37                            25                            7                             32                            16                            4                             20                            20                            1                             21                            22                            6                             28                            19                            2                             21                            15                            3                             18                            9                             3                             12                            19                            4                             23                            0                             0                             0                             2367                          
0105 CIN 1-E                  1242                          202                           53                            255                           184                           50                            234                           187                           52                            239                           200                           54                            254                           197                           56                            253                           171                           46                            217                           178                           54                            232                           167                           46                            213                           164                           42                            206                           137                           38                            175                           97                            23                            120                           64                            16                            80                            75                            9                             84                            52                            9                             61                            68                            14                            82                            50                            13                            63                            22                            7                             29                            50                            7                             57                            42                            9                             51                            23                            8                             31                            8                             4                             12                            33                            9                             42                            22                            8                             30                            23                            6                             29                            18                            1                             19                            15                            6                             21                            2                             2                             4                             3093                          
0106 CIN 1-F                  1211                          266                           54                            320                           241                           47                            288                           231                           54                            285                           258                           54                            312                           257                           61                            318                           253                           49                            302                           259                           55                            314                           248                           55                            303                           210                           40                            250                           251                           39                            290                           157                           17                            174                           41                            9                             50                            118                           11                            129                           84                            9                             93                            116                           14                            130                           103                           20                            123                           24                            9                             33                            26                            11                            37                            46                            8                             54                            21                            8                             29                            10                            0                             10                            34                            7                             41                            16                            4                             20                            12                            5                             17                            16                            2                             18                            24                            1                             25                            1                             0                             1                             3966                          
0107 CIN 1-G                  988                           195                           30                            225                           176                           30                            206                           186                           28                            214                           204                           29                            233                           197                           32                            229                           175                           31                            206                           175                           32                            207                           180                           32                            212                           171                           21                            192                           161                           31                            192                           111                           22                            133                           58                            2                             60                            99                            19                            118                           56                            5                             61                            86                            17                            103                           76                            18                            94                            26                            7                             33                            39                            3                             42                            29                            9                             38                            27                            3                             30                            19                            3                             22                            32                            9                             41                            27                            1                             28                            20                            5                             25                            17                            3                             20                            16                            6                             22                            1                             0                             1                             2987                          
0108 CIN 1-H                  717                           113                           53                            166                           105                           42                            147                           92                            43                            135                           110                           44                            154                           108                           47                            155                           96                            39                            135                           97                            47                            144                           112                           44                            156                           89                            50                            139                           128                           38                            166                           69                            23                            92                            16                            5                             21                            75                            18                            93                            30                            12                            42                            72                            17                            89                            45                            14                            59                            11                            2                             13                            11                            4                             15                            14                            6                             20                            9                             2                             11                            5                             0                             5                             15                            8                             23                            3                             2                             5                             5                             3                             8                             6                             4                             10                            12                            2                             14                            0                             0                             0                             2017                          
0109 CIN 1-I                  1166                          229                           52                            281                           209                           48                            257                           217                           49                            266                           234                           45                            279                           243                           52                            295                           225                           42                            267                           216                           48                            264                           223                           43                            266                           205                           45                            250                           201                           22                            223                           133                           15                            148                           45                            10                            55                            125                           9                             134                           52                            7                             59                            119                           13                            132                           59                            3                             62                            29                            4                             33                            32                            5                             37                            34                            4                             38                            22                            10                            32                            11                            1                             12                            30                            5                             35                            25                            2                             27                            20                            5                             25                            16                            0                             16                            15                            2                             17                            1                             0                             1                             3511                          
0110 CIN 1-J                  1262                          226                           46                            272                           218                           38                            256                           207                           37                            244                           242                           41                            283                           236                           38                            274                           232                           37                            269                           206                           36                            242                           208                           37                            245                           187                           34                            221                           238                           37                            275                           112                           18                            130                           49                            8                             57                            101                           12                            113                           57                            8                             65                            98                            12                            110                           68                            15                            83                            26                            3                             29                            39                            6                             45                            48                            3                             51                            24                            5                             29                            12                            2                             14                            31                            8                             39                            17                            3                             20                            30                            1                             31                            19                            2                             21                            16                            3                             19                            2                             0                             2                             3439                          
