Precinct,Registered,Total
0101 CIN 1-A,349,815
0102 CIN 1-B,1366,4857
0103 CIN 1-C,1180,3125
0104 CIN 1-D,876,2367
0105 CIN 1-E,1242,3093
0106 CIN 1-F,1211,3966
0107 CIN 1-G,988,2987
0108 CIN 1-H,717,2017
0109 CIN 1-I,1166,3511
0110 CIN 1-J,1262,3439
0111 CIN 1-K,1264,3038
0112 CIN 1-L,717,2157
0113 CIN 1-M,1002,2840
0201 CIN 2-A,1517,3441
0202 CIN 2-B,1587,3984
0203 CIN 2-C,1433,2393
0204 CIN 2-D,1554,4611
0205 CIN 2-E,1283,3720
0206 CIN 2-F,1475,4334
0207 CIN 2-G,1276,3570
0208 CIN 2-H,966,2082
0209 CIN 2-I,1217,3430
0210 CIN 2-J,1345,3575
0211 CIN 2-K,1458,4118
0301 CIN 3-A,1358,2715
0302 CIN 3-B,850,2725
0303 CIN 3-C,1117,3314
0304 CIN 3-D,1488,3190
0305 CIN 3-E,1328,3252
0401 CIN 4-A,965,3567
0402 CIN 4-B,1042,3628
0403 CIN 4-C,924,2787
0404 CIN 4-D,1232,4003
0405 CIN 4-E,1220,3287
0406 CIN 4-F,1079,3263
0407 CIN 4-G,1293,3953
0408 CIN 4-H,1497,4228
0501 CIN 5-A,1265,3501
0502 CIN 5-B,1152,4059
0503 CIN 5-C,848,3102
0504 CIN 5-D,1342,4936
0505 CIN 5-E,1451,4468
0506 CIN 5-F,940,2559
0507 CIN 5-G,1514,3593
0508 CIN 5-H,914,2484
0509 CIN 5-I,1335,3706
0601 CIN 6-A,1863,3768
0602 CIN 6-B,1766,2836
0603 CIN 6-C,1787,3621
0604 CIN 6-D,1739,3476
0605 CIN 6-E,1524,2700
0701 CIN 7-A,1288,3476
0702 CIN 7-B,700,1084
0703 CIN 7-C,1170,3568
0704 CIN 7-D,1212,2490
0705 CIN 7-E,611,1839
0706 CIN 7-F,923,2341
0707 CIN 7-G,1310,3045
0708 CIN 7-H,1166,2410
0709 CIN 7-I,1111,3205
0710 CIN 7-J,548,951
0711 CIN 7-K,1051,2652
0801 CIN 8-A,1463,2836
0802 CIN 8-B,1316,3799
0803 CIN 8-C,1520,4774
0804 CIN 8-D,1596,3309
0901 CIN 9-A,839,1155
0902 CIN 9-B,1369,4170
0903 CIN 9-C,1708,2894
0904 CIN 9-D,1126,1707
1001 CIN 10-A,1361,3391
1002 CIN 10-B,1547,1946
1003 CIN 10-C,1333,2888
1101 CIN 11-A,1144,2387
1102 CIN 11-B,1310,1141
1103 CIN 11-C,865,575
1104 CIN 11-D,1025,1607
1201 CIN 12-A,893,879
1202 CIN 12-B,707,180
1203 CIN 12-C,1056,1198
1204 CIN 12-D,1393,1868
1205 CIN 12-E,1014,993
1301 CIN 13-A,1201,1361
1302 CIN 13-B,855,2697
1303 CIN 13-C,1224,1357
1304 CIN 13-D,1204,2273
1305 CIN 13-E,1392,4834
1306 CIN 13-F,973,3489
1307 CIN 13-G,1502,1880
1308 CIN 13-H,641,104
1401 CIN 14-A,1221,4405
1402 CIN 14-B,1211,3472
1403 CIN 14-C,489,1839
1404 CIN 14-D,1406,5183
1405 CIN 14-E,1280,4136
1406 CIN 14-F,984,4083
1407 CIN 14-G,1053,3964
1408 CIN 14-H,1248,3895
1409 CIN 14-I,1399,3858
1501 CIN 15-A,1248,4592
1502 CIN 15-B,1451,4339
1503 CIN 15-C,954,1474
1504 CIN 15-D,793,2051
1505 CIN 15-E,1266,4221
1506 CIN 15-F,1141,3255
1507 CIN 15-G,675,2049
1508 CIN 15-H,1192,5333
1509 CIN 15-I,988,2672
1510 CIN 15-J,772,1290
1601 CIN 16-A,1320,1625
1701 CIN 17-A,1532,2507
1702 CIN 17-B,1575,3057
1703 CIN 17-C,1144,2023
1801 CIN 18-A,1026,1748
1802 CIN 18-B,753,668
1901 CIN 19-A,985,1944
1902 CIN 19-B,1320,3250
1903 CIN 19-C,1289,1741
1904 CIN 19-D,464,217
2001 CIN 20-A,1186,1417
2002 CIN 20-B,1013,1398
2003 CIN 20-C,1455,3103
2004 CIN 20-D,1354,2800
2005 CIN 20-E,991,1021
2101 CIN 21-A,587,802
2102 CIN 21-B,794,681
2103 CIN 21-C,1084,1232
2104 CIN 21-D,911,920
2105 CIN 21-E,821,846
2201 CIN 22-A,1531,4268
2202 CIN 22-B,1085,1688
2203 CIN 22-C,1482,1160
2301 CIN 23-A,1504,4406
2302 CIN 23-B,1349,1408
2303 CIN 23-C,917,4116
2304 CIN 23-D,1146,4990
2305 CIN 23-E,1050,2291
2306 CIN 23-F,1281,3845
2307 CIN 23-G,571,1585
2308 CIN 23-H,1060,4226
2309 CIN 23-I,1005,3605
2310 CIN 23-J,1339,2915
2311 CIN 23-K,1042,3077
2312 CIN 23-L,597,1233
2313 CIN 23-M,1041,2552
2314 CIN 23-N,1254,4178
2315 CIN 23-O,1099,3856
2316 CIN 23-P,1504,3271
2317 CIN 23-Q,802,2121
2318 CIN 23-R,672,1773
2401 CIN 24-A,1368,3895
2402 CIN 24-B,1433,3615
2403 CIN 24-C,1184,1580
2404 CIN 24-D,1423,2732
2405 CIN 24-E,1020,448
2406 CIN 24-F,859,2004
2407 CIN 24-G,1359,2818
2408 CIN 24-H,595,161
2409 CIN 24-I,696,319
2501 CIN 25-A,1064,1626
2502 CIN 25-B,1118,900
2503 CIN 25-C,1117,3382
2504 CIN 25-D,1172,1956
2505 CIN 25-E,1279,2832
2506 CIN 25-F,1211,2509
2507 CIN 25-G,599,989
2508 CIN 25-H,1409,2782
2509 CIN 25-I,1204,2224
2510 CIN 25-J,1185,1855
2511 CIN 25-K,1439,2126
2512 CIN 25-L,787,684
2601 CIN 26-A,1301,3802
2602 CIN 26-B,1082,2284
2603 CIN 26-C,693,1544
2604 CIN 26-D,1083,1200
2605 CIN 26-E,1259,1548
2606 CIN 26-F,844,1211
2607 CIN 26-G,1008,1790
2608 CIN 26-H,947,422
2609 CIN 26-I,1095,2483
2610 CIN 26-J,1308,2356
2611 CIN 26-K,1277,2996
2612 CIN 26-L,845,1397
2613 CIN 26-M,638,961
2614 CIN 26-N,1164,2046
2615 CIN 26-O,1148,3546
2616 CIN 26-P,1269,2593
2617 CIN 26-Q,1150,1162
2618 CIN 26-R,771,1144
2619 CIN 26-S,1007,1793
Totals:,217067,49833
