contest,candidate,vote_type,precinct,votes
CITY OF CHEVIOT For President of Council,Stefanie A. Hawk,Election,2911 CHEV 1-A,177
CITY OF CHEVIOT For President of Council,Stefanie A. Hawk,Election,2921 CHEV 2-A,170
CITY OF CHEVIOT For President of Council,Stefanie A. Hawk,Election,2931 CHEV 3-A,196
CITY OF CHEVIOT For President of Council,Stefanie A. Hawk,Election,2941 CHEV 4-A,200
CITY OF CHEVIOT For President of Council,Stefanie A. Hawk,Early,2911 CHEV 1-A,23
CITY OF CHEVIOT For President of Council,Stefanie A. Hawk,Early,2921 CHEV 2-A,14
CITY OF CHEVIOT For President of Council,Stefanie A. Hawk,Early,2931 CHEV 3-A,22
CITY OF CHEVIOT For President of Council,Stefanie A. Hawk,Early,2941 CHEV 4-A,37
CITY OF CHEVIOT For President of Council,Kerry Smyth,Election,2911 CHEV 1-A,136
CITY OF CHEVIOT For President of Council,Kerry Smyth,Election,2921 CHEV 2-A,117
CITY OF CHEVIOT For President of Council,Kerry Smyth,Election,2931 CHEV 3-A,92
CITY OF CHEVIOT For President of Council,Kerry Smyth,Election,2941 CHEV 4-A,110
CITY OF CHEVIOT For President of Council,Kerry Smyth,Early,2911 CHEV 1-A,13
CITY OF CHEVIOT For President of Council,Kerry Smyth,Early,2921 CHEV 2-A,12
CITY OF CHEVIOT For President of Council,Kerry Smyth,Early,2931 CHEV 3-A,5
CITY OF CHEVIOT For President of Council,Kerry Smyth,Early,2941 CHEV 4-A,29
CITY OF CHEVIOT For Auditor (Unexpired Term ending 12-31-2027),Steve Brown,Election,2911 CHEV 1-A,224
CITY OF CHEVIOT For Auditor (Unexpired Term ending 12-31-2027),Steve Brown,Election,2921 CHEV 2-A,203
CITY OF CHEVIOT For Auditor (Unexpired Term ending 12-31-2027),Steve Brown,Election,2931 CHEV 3-A,229
CITY OF CHEVIOT For Auditor (Unexpired Term ending 12-31-2027),Steve Brown,Election,2941 CHEV 4-A,228
CITY OF CHEVIOT For Auditor (Unexpired Term ending 12-31-2027),Steve Brown,Early,2911 CHEV 1-A,25
CITY OF CHEVIOT For Auditor (Unexpired Term ending 12-31-2027),Steve Brown,Early,2921 CHEV 2-A,20
CITY OF CHEVIOT For Auditor (Unexpired Term ending 12-31-2027),Steve Brown,Early,2931 CHEV 3-A,22
CITY OF CHEVIOT For Auditor (Unexpired Term ending 12-31-2027),Steve Brown,Early,2941 CHEV 4-A,47
CITY OF CHEVIOT For Treasurer,Gayle Zech,Election,2911 CHEV 1-A,228
CITY OF CHEVIOT For Treasurer,Gayle Zech,Election,2921 CHEV 2-A,208
CITY OF CHEVIOT For Treasurer,Gayle Zech,Election,2931 CHEV 3-A,229
CITY OF CHEVIOT For Treasurer,Gayle Zech,Election,2941 CHEV 4-A,226
CITY OF CHEVIOT For Treasurer,Gayle Zech,Early,2911 CHEV 1-A,27
CITY OF CHEVIOT For Treasurer,Gayle Zech,Early,2921 CHEV 2-A,18
CITY OF CHEVIOT For Treasurer,Gayle Zech,Early,2931 CHEV 3-A,22
CITY OF CHEVIOT For Treasurer,Gayle Zech,Early,2941 CHEV 4-A,47
