"","PrecinctNum","sum_polls_un","sum_polls_d","sum_polls_r","sum_absnt_d","sum_absnt_r","sum_absnt_un"
"1",101,851,23,53,2,3,65
"2",102,3558,223,137,20,9,554
"3",103,2242,145,68,10,8,421
"4",104,1502,69,46,13,4,272
"5",105,2179,99,78,17,5,369
"6",106,3060,152,141,18,17,482
"7",107,2293,102,88,17,9,316
"8",108,1493,80,59,11,3,284
"9",109,2942,133,134,15,9,375
"10",110,2630,115,99,4,2,355
"11",111,2081,98,72,20,9,357
"12",112,1776,80,84,23,5,346
"13",113,2203,91,102,8,7,390
"14",201,1661,80,24,53,22,694
"15",202,2277,136,49,51,56,806
"16",203,1377,59,13,19,3,276
"17",204,2767,146,69,30,5,505
"18",205,2155,58,61,36,23,655
"19",206,2637,171,33,16,4,360
"20",207,1904,68,114,51,73,999
"21",208,1379,64,11,1,0,199
"22",209,2244,119,65,10,7,323
"23",210,2380,88,59,5,0,271
"24",211,2422,121,75,27,10,605
"25",301,1821,176,5,22,1,284
"26",302,1744,130,42,23,13,321
"27",303,1641,145,68,62,35,736
"28",304,1867,155,8,4,0,209
"29",305,1859,128,15,18,0,241
"30",401,2457,200,93,18,10,376
"31",402,2093,116,76,8,5,376
"32",403,1597,118,66,4,4,269
"33",404,2560,132,57,11,2,349
"34",405,2427,115,78,14,10,324
"35",406,2074,123,79,30,21,548
"36",407,2812,137,143,7,15,511
"37",408,2583,99,63,17,9,412
"38",501,2472,117,118,23,32,646
"39",502,2793,196,97,6,11,411
"40",503,1765,154,57,12,16,385
"41",504,3063,188,134,14,17,766
"42",505,3197,178,128,31,6,580
"43",506,1902,95,53,13,19,423
"44",507,2756,114,108,23,18,628
"45",508,1438,109,19,6,0,164
"46",509,2796,117,162,11,23,556
"47",601,2355,124,42,13,5,311
"48",602,1639,75,33,3,6,267
"49",603,2211,146,16,11,3,198
"50",604,2129,130,21,14,2,277
"51",605,1913,105,47,21,6,359
"52",701,1809,158,14,40,0,466
"53",702,642,45,8,20,2,254
"54",703,1671,143,4,25,0,387
"55",704,1346,85,5,17,2,267
"56",705,841,58,2,23,0,242
"57",706,1039,83,3,19,1,256
"58",707,1668,129,7,37,2,420
"59",708,1379,113,15,14,0,206
"60",709,1606,157,18,42,3,478
"61",710,504,39,2,17,5,178
"62",711,1488,137,8,17,4,301
"63",801,1539,132,16,20,0,303
"64",802,2272,160,57,10,2,301
"65",803,2900,180,137,27,16,684
"66",804,1703,127,9,14,1,258
"67",901,722,53,1,5,0,103
"68",902,2474,186,68,30,10,417
"69",903,1743,107,17,28,3,362
"70",904,1100,92,6,22,0,252
"71",1001,2494,139,89,6,0,243
