"","VoterIdent","PrecinctNum","PrecinctSplit","PrecinctName","2025 General Election","2025 Primary Election","2024 General Election","2024 Primary Election","2023 General Election","2023 August Election","PRIMARY_MAY_2023","GENERAL_NOV_2022","AUG PRIMARY ELECTION 2022","PRIMARY_MAY_2022","GENERAL_NOV_2021","PRIMARY_MAY_2021"
"1","001985631",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","001954496",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"3","240034453",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","000004229",101,0,"CINCINNATI 1-A",NA,NA,"A-U","A-R",NA,NA,NA,"A-U",NA,"A-U",NA,NA
"5","002048926",101,0,"CINCINNATI 1-A",NA,NA,"A-U","A-R",NA,NA,NA,"A-U",NA,"A-U",NA,NA
"6","002015254",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"7","000785878",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"8","001103924",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,"P-U"
"9","001943746",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","000970626",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P-U",NA
"11","001737431",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","000765793",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","001934900",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"14","001147376",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-R","P-U",NA,NA,"P-U",NA,"P-U","P-U",NA
"15","002025543",101,0,"CINCINNATI 1-A",NA,"P-U","P-U","P-R","P-U",NA,NA,"P-U",NA,"P-U","P-U",NA
"16","001974855",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","002072259",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","001845063",101,0,"CINCINNATI 1-A",NA,NA,"E-U","P-D","P-U","E-U",NA,"E-U","P-D","P-U","P-U",NA
"19","240012865",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","002010686",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","002066561",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","001351096",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U",NA
"23","001547620",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"A-U",NA,NA,"P-U",NA
"24","001991114",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,"P-U",NA,NA
"25","001732845",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","001539297",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"27","002031320",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","001684178",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,"P-U",NA
"29","001899052",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","250028129",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","000123161",101,0,"CINCINNATI 1-A",NA,NA,"P-U","E-R","E-U","P-U",NA,"A-U",NA,"P-U","P-U","P-U"
"32","000123171",101,0,"CINCINNATI 1-A",NA,NA,"P-U","E-R","E-U","P-U",NA,"A-U",NA,"P-U","P-U","P-U"
"33","001898767",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","250004326",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","001878874",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,"P-U","P-U"
"36","001725387",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","001691697",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,"P-U",NA,NA
"38","000631588",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","001932274",101,0,"CINCINNATI 1-A",NA,NA,"A-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","250024148",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","001843294",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,"P-U"
"42","001142234",101,0,"CINCINNATI 1-A",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"43","250004181",101,0,"CINCINNATI 1-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","001990778",101,0,"CINCINNATI 1-A",NA,NA,"E-U",NA,"E-U","E-U",NA,"E-U","A-D",NA,NA,NA
